autor_commit,hash,repositorio,linguagem_programacao
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
David Howells,c06cfb08b88dfbe13be44a69ae2fdc3a7c902d81,https://github.com/torvalds/linux,C
Ondrej Mular,1874a769b5720ae5430f10c6cedd234430bc703f,https://github.com/ClusterLabs/pcs,JavaScript
Ondrej Mular,1874a769b5720ae5430f10c6cedd234430bc703f,https://github.com/ClusterLabs/pcs,JavaScript
Ondrej Mular,1874a769b5720ae5430f10c6cedd234430bc703f,https://github.com/ClusterLabs/pcs,Markdown
Aki Tuomi,000030feb7a30f193197f1aab8a7b04a26b42735,https://github.com/dovecot/core,C
Eric Dumazet,43a6684519ab0a6c52024b5e25322476cabad893,https://github.com/torvalds/linux,C
Tomohiro Nakamura,3f8f659ef443ab870bb19f95d43543470168ae04,https://github.com/tomoh1r/ansible-vault,Markdown
Tomohiro Nakamura,3f8f659ef443ab870bb19f95d43543470168ae04,https://github.com/tomoh1r/ansible-vault,Markdown
Tomohiro Nakamura,3f8f659ef443ab870bb19f95d43543470168ae04,https://github.com/tomoh1r/ansible-vault,Markdown
Tomohiro Nakamura,3f8f659ef443ab870bb19f95d43543470168ae04,https://github.com/tomoh1r/ansible-vault,Python
Tomohiro Nakamura,3f8f659ef443ab870bb19f95d43543470168ae04,https://github.com/tomoh1r/ansible-vault,Python
Tomohiro Nakamura,3f8f659ef443ab870bb19f95d43543470168ae04,https://github.com/tomoh1r/ansible-vault,Python
Tomohiro Nakamura,3f8f659ef443ab870bb19f95d43543470168ae04,https://github.com/tomoh1r/ansible-vault,Ruby
Tomohiro Nakamura,3f8f659ef443ab870bb19f95d43543470168ae04,https://github.com/tomoh1r/ansible-vault,Shell
Tomohiro Nakamura,3f8f659ef443ab870bb19f95d43543470168ae04,https://github.com/tomoh1r/ansible-vault,Shell
Tomohiro Nakamura,3f8f659ef443ab870bb19f95d43543470168ae04,https://github.com/tomoh1r/ansible-vault,unknown
Christian Stimming,a70934eea95c76a7737b83773bffe8738935082d,https://github.com/libofx/libofx,C++
Han-Wen Nienhuys,e4e2799dd7aab89f583e1d898300d96367750991,https://github.com/golang/crypto,Go
Han-Wen Nienhuys,e4e2799dd7aab89f583e1d898300d96367750991,https://github.com/golang/crypto,Go
Han-Wen Nienhuys,e4e2799dd7aab89f583e1d898300d96367750991,https://github.com/golang/crypto,Go
Han-Wen Nienhuys,e4e2799dd7aab89f583e1d898300d96367750991,https://github.com/golang/crypto,Go
Han-Wen Nienhuys,e4e2799dd7aab89f583e1d898300d96367750991,https://github.com/golang/crypto,Go
Han-Wen Nienhuys,e4e2799dd7aab89f583e1d898300d96367750991,https://github.com/golang/crypto,Go
Han-Wen Nienhuys,e4e2799dd7aab89f583e1d898300d96367750991,https://github.com/golang/crypto,Go
Han-Wen Nienhuys,e4e2799dd7aab89f583e1d898300d96367750991,https://github.com/golang/crypto,Go
Han-Wen Nienhuys,e4e2799dd7aab89f583e1d898300d96367750991,https://github.com/golang/crypto,Go
Han-Wen Nienhuys,e4e2799dd7aab89f583e1d898300d96367750991,https://github.com/golang/crypto,Go
Han-Wen Nienhuys,e4e2799dd7aab89f583e1d898300d96367750991,https://github.com/golang/crypto,Go
Han-Wen Nienhuys,e4e2799dd7aab89f583e1d898300d96367750991,https://github.com/golang/crypto,Go
Han-Wen Nienhuys,e4e2799dd7aab89f583e1d898300d96367750991,https://github.com/golang/crypto,Go
Tadaya Tsuyukubo,c23964eb57e846126daef98ef7ed15400313e977,https://github.com/vmware/xenon,Java
Tadaya Tsuyukubo,c23964eb57e846126daef98ef7ed15400313e977,https://github.com/vmware/xenon,Java
Tadaya Tsuyukubo,c23964eb57e846126daef98ef7ed15400313e977,https://github.com/vmware/xenon,Java
Tadaya Tsuyukubo,c23964eb57e846126daef98ef7ed15400313e977,https://github.com/vmware/xenon,Java
Tadaya Tsuyukubo,c23964eb57e846126daef98ef7ed15400313e977,https://github.com/vmware/xenon,Java
Tadaya Tsuyukubo,c23964eb57e846126daef98ef7ed15400313e977,https://github.com/vmware/xenon,Java
Tadaya Tsuyukubo,c23964eb57e846126daef98ef7ed15400313e977,https://github.com/vmware/xenon,Java
Tadaya Tsuyukubo,c23964eb57e846126daef98ef7ed15400313e977,https://github.com/vmware/xenon,Java
Tadaya Tsuyukubo,c23964eb57e846126daef98ef7ed15400313e977,https://github.com/vmware/xenon,Java
Michael Schroeder,ba27c91351878bc297ec4baba0bd488a2f3b568d,https://github.com/openSUSE/open-build-service,Perl
netblue30,5d43fdcd215203868d440ffc42036f5f5ffc89fc,https://github.com/netblue30/firejail,C
netblue30,5d43fdcd215203868d440ffc42036f5f5ffc89fc,https://github.com/netblue30/firejail,Markdown
Nikias Bassen,3a55ddd3c4c11ce75a86afbefd085d8d397ff957,https://github.com/libimobiledevice/libplist,C++
erouault,5c080298d59efa53264d7248bbe3a04660db6ef7,https://github.com/vadz/libtiff,C
erouault,5c080298d59efa53264d7248bbe3a04660db6ef7,https://github.com/vadz/libtiff,Markdown
Simon McVittie,d7fc532c42f0e9bf427923bab85433282b3e5117,https://github.com/projectatomic/bubblewrap,C
Nikos Mavrogiannopoulos,c5aaa488a3d6df712dc8dff23a049133cab5ec1b,https://gitlab.com/gnutls/gnutls,C
Nikos Mavrogiannopoulos,49be4f7b82eba2363bb8d4090950dad976a77a3a,https://gitlab.com/gnutls/gnutls,C
Nikos Mavrogiannopoulos,5140422e0d7319a8e2fe07f02cbcafc4d6538732,https://gitlab.com/gnutls/gnutls,C
Nikos Mavrogiannopoulos,94fcf1645ea17223237aaf8d19132e004afddc1a,https://gitlab.com/gnutls/gnutls,C
Stanislav Malyshev,4cc0286f2f3780abc6084bcdae5dce595daa3c12,https://github.com/php/php-src,C
Puguh Wijayanto,6e21c01d87672d81080450e6913e0093a02bfab8,https://github.com/semplon/GeniXCMS,CSS
Puguh Wijayanto,6e21c01d87672d81080450e6913e0093a02bfab8,https://github.com/semplon/GeniXCMS,JavaScript
Puguh Wijayanto,6e21c01d87672d81080450e6913e0093a02bfab8,https://github.com/semplon/GeniXCMS,PHP
Puguh Wijayanto,6e21c01d87672d81080450e6913e0093a02bfab8,https://github.com/semplon/GeniXCMS,PHP
Puguh Wijayanto,6e21c01d87672d81080450e6913e0093a02bfab8,https://github.com/semplon/GeniXCMS,PHP
Puguh Wijayanto,6e21c01d87672d81080450e6913e0093a02bfab8,https://github.com/semplon/GeniXCMS,PHP
Puguh Wijayanto,6e21c01d87672d81080450e6913e0093a02bfab8,https://github.com/semplon/GeniXCMS,PHP
Puguh Wijayanto,6e21c01d87672d81080450e6913e0093a02bfab8,https://github.com/semplon/GeniXCMS,PHP
Puguh Wijayanto,6e21c01d87672d81080450e6913e0093a02bfab8,https://github.com/semplon/GeniXCMS,PHP
Puguh Wijayanto,6e21c01d87672d81080450e6913e0093a02bfab8,https://github.com/semplon/GeniXCMS,PHP
Puguh Wijayanto,6e21c01d87672d81080450e6913e0093a02bfab8,https://github.com/semplon/GeniXCMS,PHP
